,Publication Name,School Level,Latitude,Longitude
173,Richard R. Wright School,Elementary,39.99043963,-75.17699812
174,Overbrook Educational Center,Elementary-Middle,39.97429952,-75.25401239
175,Guion S. Bluford Elementary School,Elementary-Middle,39.97381132178622,-75.23583172582438
176,Edward Gideon School,Elementary-Middle,39.98447594,-75.18016456
177,William D. Kelley School,Elementary-Middle,39.98039173,-75.18032689
178,General George G. Meade School,Elementary-Middle,39.978587,-75.164718
187,Julia de Burgos School,Elementary-Middle,39.99275164,-75.13862743
189,Alexander Adaire School,Elementary-Middle,39.97232661,-75.12930989
190,Henry A. Brown School,Elementary-Middle,39.98661748,-75.12725674
192,Paul L. Dunbar School,Elementary-Middle,39.97948773,-75.15416974
193,Lewis Elkin School,Elementary,39.997018,-75.121274
194,Horatio B. Hackett School,Elementary,39.98096374,-75.12685511
195,John F. Hartranft School,Elementary-Middle,39.98942228,-75.14477741
196,William H. Hunter School,Elementary-Middle,39.98725028,-75.13176356
197,James R. Ludlow School,Elementary-Middle,39.972724,-75.145854
198,William McKinley School,Elementary-Middle,39.9827686,-75.14165528
199,John Moffet School,Elementary,39.97439362,-75.13498462
200,Potter-Thomas School,Elementary-Middle,39.99690701,-75.14107646
201,Richmond School,Elementary,39.983496,-75.110491
202,Isaac A. Sheppard School,Elementary,39.993651,-75.13163
203,John Welsh School,Elementary-Middle,39.98653438,-75.13941869
205,Frances E. Willard School,Elementary,39.993065,-75.115907
206,William Cramp School,Elementary,40.00260657,-75.13036297
207,General Philip Kearny School,Elementary-Middle,39.96385753,-75.14812935
208,Cayuga School,Elementary,40.017826,-75.135246
209,Thurgood Marshall School,Elementary-Middle,40.02938155,-75.13416332
211,Gloria Casarez Elementary School,Elementary,39.99974725,-75.11478572
213,Spring Garden School,Elementary-Middle,39.96516155,-75.15614042
216,John H. Webster School,Elementary,39.996199,-75.104516
220,Honorable Luis Munoz-Marin School,Elementary-Middle,40.00098011,-75.13538958
228,Anna B. Day School,Elementary-Middle,40.05840682,-75.16833464
229,Franklin S. Edmonds School,Elementary-Middle,40.0717255,-75.1692495
230,Eleanor C. Emlen School,Elementary,40.05436289,-75.17790573
231,Fitler Academics Plus School,Elementary-Middle,40.02610052,-75.16633733
232,Charles W. Henry School,Elementary-Middle,40.04625771,-75.19658776
233,Henry H. Houston School,Elementary-Middle,40.059003,-75.195084
234,Jenks Academy for Arts and Sciences,Elementary-Middle,40.07440887,-75.20356162
235,James Logan School,Elementary,40.03085306,-75.15205995
236,John F. McCloskey School,Elementary-Middle,40.08162668,-75.17533748
237,Thomas Mifflin School,Elementary-Middle,40.01357043,-75.19128804
238,Joseph Pennell School,Elementary,40.04351806,-75.15208663
239,Samuel Pennypacker School,Elementary-Middle,40.06527032,-75.1597946
240,Theodore Roosevelt School,Elementary-Middle,40.04856262,-75.17529079
241,Shawmont School,Elementary-Middle,40.051478,-75.238543
242,Edward T. Steel School,Elementary-Middle,40.01879502,-75.15689064
243,Widener Memorial School,Elementary-Middle-High,40.036706,-75.146598
244,Cook-Wissahickon School,Elementary-Middle,40.022472,-75.206802
245,Anna L. Lingelbach School,Elementary-Middle,40.03708413,-75.18961364
246,James Dobson School,Elementary-Middle,40.03147536,-75.23067163
248,John B. Kelly School,Elementary,40.02479143,-75.1711868
254,Jay Cooke School,Elementary-Middle,40.025526,-75.146074
258,Juniata Park Academy,Elementary-Middle,40.01284122,-75.11102921
259,Clara Barton School,Elementary,40.0193401,-75.11950188
260,Laura H. Carnell School,Elementary,40.038957,-75.084142
261,Ellwood School,Elementary,40.05472609,-75.13894107
262,Thomas K. Finletter School,Elementary-Middle,40.043608,-75.119176
263,Benjamin Franklin School,Elementary-Middle,40.04215213,-75.10498859
264,Allen M. Stearne School,Elementary-Middle,40.011752,-75.085112
265,Francis Hopkinson School,Elementary-Middle,40.00771059,-75.10274511
266,Feltonville Intermediate School,Elementary,40.02034002,-75.12102564
267,Julia W. Howe School,Elementary,40.04113187,-75.14211131
268,Henry W. Lawton School,Elementary,40.020648,-75.058976
269,James R. Lowell School,Elementary,40.04086578,-75.12871963
270,John Marshall School,Elementary,40.014546,-75.087158
272,Alexander K. McClure School,Elementary,40.015178,-75.137574
273,Andrew J. Morrison School,Elementary-Middle,40.02843729,-75.12941126
274,Olney School,Elementary-Middle,40.03058672,-75.12134354
275,James J. Sullivan School,Elementary,40.01529786,-75.06706036
276,Bayard Taylor School,Elementary,40.00753033,-75.13793972
277,William H. Ziegler School,Elementary-Middle,40.03003725,-75.07570448
278,Bridesburg School,Elementary-Middle,40.00030082,-75.06660471
279,Prince Hall School,Elementary,40.04770742,-75.14956052
281,Mary M. Bethune School,Elementary-Middle,40.00269526,-75.14872828
282,William Rowen School,Elementary,40.05930676,-75.1486472
293,Northeast Community Propel Academy,Elementary-Middle,40.04577528985951,-75.04413272617913
296,Ethan Allen School,Elementary-Middle,40.0294252,-75.06268841
297,Joseph H. Brown School,Elementary-Middle,40.04392183,-75.02460195
298,Kennedy C. Crossan School,Elementary,40.06144841,-75.08155085
299,Hamilton Disston School,Elementary-Middle,40.02836911,-75.04658904
300,Edwin Forrest School,Elementary,40.03444,-75.035891
301,Fox Chase School,Elementary,40.076307,-75.082129
302,Thomas Holme School,Elementary-Middle,40.054988,-75.008965
303,Mayfair School,Elementary-Middle,40.03945436,-75.05339332
304,J. Hampton Moore School,Elementary,40.049135,-75.076912
305,Solomon Solis-Cohen School,Elementary,40.044644,-75.064725
306,Gilbert Spruance School,Elementary-Middle,40.03756142,-75.07232936
307,Rhawnhurst School,Elementary,40.05869601,-75.05898166
308,Watson Comly School,Elementary,40.12096486,-75.0091088
309,Louis H. Farrell School,Elementary-Middle,40.06657162,-75.05241476
310,A.L. Fitzpatrick School,Elementary-Middle,40.080306,-74.976529
311,Anne Frank School,Elementary,40.088288,-75.028222
312,Robert B. Pollock School,Elementary-Middle,40.0457222,-75.04414659999999
313,Stephen Decatur School,Elementary-Middle,40.095818,-74.970535
314,Joseph Greenberg School,Elementary-Middle,40.09608652,-75.05771102
315,William H. Loesche School,Elementary,40.11358364,-75.02386784
322,John Hancock Demonstration School,Elementary-Middle,40.06774728,-74.98842793
323,Philadelphia Virtual Academy,Elementary-Middle-High,39.96102159,-75.16264405
